Date,Date Processed,Description,Amount
28 Aug 2024,28 Aug 2024,MEMBERSHIP FEE INSTALLMENT,12.99
27 Aug 2024,28 Aug 2024,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,29.40
27 Aug 2024,28 Aug 2024,PLAYSTATION NETWORK     877-971-7669,13.43
26 Aug 2024,26 Aug 2024,EVO CAR SHARE           BURNABY,14.02
25 Aug 2024,26 Aug 2024,=HAPPYLAMBHOTPOT 001    VANCOUVER,27.90
25 Aug 2024,26 Aug 2024,ADRENALINE VANCITY 4122 VANCOUVER,47.74
25 Aug 2024,25 Aug 2024,JJ BEAN COFFEE ROASTERS Vancouver,25.80
25 Aug 2024,25 Aug 2024,RAIN OR SHINE HOMEMADE  Vancouver,12.71
25 Aug 2024,25 Aug 2024,UBER TRIP               HTTPS://HELP.UB,12.15
24 Aug 2024,24 Aug 2024,EVO CAR SHARE           BURNABY,9.63
24 Aug 2024,24 Aug 2024,EVO CAR SHARE           BURNABY,12.92
24 Aug 2024,25 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,5.99
24 Aug 2024,25 Aug 2024,WHOLE FOODS MARKET      VANCOUVER,103.97
23 Aug 2024,24 Aug 2024,TST-THE AMERICAN        VANCOUVER,24.44
22 Aug 2024,22 Aug 2024,EVO CAR SHARE           BURNABY,8.53
22 Aug 2024,22 Aug 2024,MOBI BY ROGERS          VANCOUVER,4.10
22 Aug 2024,22 Aug 2024,THIERRY CHOCOLATES - AL Vancouver,37.59
21 Aug 2024,21 Aug 2024,MOBI BY ROGERS          VANCOUVER,5.52
21 Aug 2024,22 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,27.88
20 Aug 2024,20 Aug 2024,EVERYTHING BY QUICK BUZ Vancouver,44.78
20 Aug 2024,20 Aug 2024,EVO CAR SHARE           BURNABY,7.44
19 Aug 2024,20 Aug 2024,FRESH ST. MARKET 1055   VANCOUVER,12.14
19 Aug 2024,20 Aug 2024,TOP TEN PRODUCE (2001)  VANCOUVER,38.11
