Date,Date Processed,Description,Amount
28 Jul 2024,28 Jul 2024,MEMBERSHIP FEE INSTALLMENT,12.99
27 Jul 2024,27 Jul 2024,EVO CAR SHARE           BURNABY,15.67
27 Jul 2024,28 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,13.96
26 Jul 2024,26 Jul 2024,EVO CAR SHARE           BURNABY,11.83
26 Jul 2024,26 Jul 2024,EVO CAR SHARE           BURNABY,11.83
26 Jul 2024,27 Jul 2024,LIBERTY WINE MERCHANTS  VANCOUVER,13.31
26 Jul 2024,28 Jul 2024,MCDONALD'S #10429       SQUAMISH,14.45
25 Jul 2024,26 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
25 Jul 2024,25 Jul 2024,EVO CAR SHARE           BURNABY,9.63
25 Jul 2024,25 Jul 2024,EVO CAR SHARE           BURNABY,14.02
25 Jul 2024,26 Jul 2024,SP KOTN                 TORONTO,-104.73
25 Jul 2024,26 Jul 2024,SP KOTN                 TORONTO,104.73
25 Jul 2024,26 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,19.20
24 Jul 2024,25 Jul 2024,BREKA BAKERY & CAFE 409 VANCOUVER,5.74
24 Jul 2024,25 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
24 Jul 2024,24 Jul 2024,UBER EATS               HTTPS://HELP.UB,5.50
23 Jul 2024,24 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
23 Jul 2024,23 Jul 2024,EVO CAR SHARE           BURNABY,4.69
22 Jul 2024,23 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
22 Jul 2024,22 Jul 2024,ELYSIAN COFFEE - BURRAR Vancouver,9.29
22 Jul 2024,22 Jul 2024,EVO CAR SHARE           BURNABY,7.99
22 Jul 2024,23 Jul 2024,FRESH ST. MARKET 1055   VANCOUVER,6.42
22 Jul 2024,24 Jul 2024,NUBA RESTAURANT KITSILA VANCOUVER,80.29
21 Jul 2024,22 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
21 Jul 2024,23 Jul 2024,SAFEWAY #4942 VANCOUVER VANCOUVER,30.65
21 Jul 2024,22 Jul 2024,SHOPPERS DRUG MART #023 VANCOUVER,31.89
21 Jul 2024,22 Jul 2024,SP KOTN                 TORONTO,142.81
21 Jul 2024,22 Jul 2024,WHOLE FOODS MARKET      VANCOUVER,18.99
20 Jul 2024,21 Jul 2024,BIXI Montreal           MONTREAL,8.40
20 Jul 2024,21 Jul 2024,BREKA BAKERY & CAFE 409 VANCOUVER,5.89
20 Jul 2024,21 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,4.50
20 Jul 2024,21 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,12.50
19 Jul 2024,19 Jul 2024,PAYMENT RECEIVED - THANK YOU,-2016.91
19 Jul 2024,20 Jul 2024,TOP TEN PRODUCE (2001)  VANCOUVER,22.36
18 Jul 2024,19 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
18 Jul 2024,18 Jul 2024,EVO CAR SHARE           BURNABY,6.89
18 Jul 2024,18 Jul 2024,EVO CAR SHARE           BURNABY,9.08
18 Jul 2024,18 Jul 2024,EVO CAR SHARE           BURNABY,19.51
17 Jul 2024,18 Jul 2024,ABC*803-GOLDS GYM       VANCOUVER,18.89
17 Jul 2024,18 Jul 2024,AMAZON.CA               WWW.AMAZON.CA,14.34
17 Jul 2024,18 Jul 2024,AMZN MKTP CA*RS4XR6HS2  WWW.AMAZON.CA,82.31
17 Jul 2024,18 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
17 Jul 2024,18 Jul 2024,LONDON DRUGS   74       VANCOUVER,34.70
16 Jul 2024,17 Jul 2024,COMPASS ACCOUNT         BURNABY,3.20
16 Jul 2024,17 Jul 2024,CRAVE                   TORONTO,24.64
16 Jul 2024,17 Jul 2024,LONDON DRUGS #90        VANCOUVER,12.30
15 Jul 2024,16 Jul 2024,AIRCANADA ONBOARD CAFE  MISSISSAUGA,18.02
15 Jul 2024,16 Jul 2024,DOORDASHNOFRILLS        DOWNTOWN TORONT,4.08
15 Jul 2024,16 Jul 2024,DOORDASHNOFRILLS        DOWNTOWN TORONT,177.26
15 Jul 2024,15 Jul 2024,EVO CAR SHARE           BURNABY,5.24
