Date,Date Processed,Description,Amount
01 Apr 2024,02 Apr 2024,Netflix Subscription,15.49
02 Apr 2024,03 Apr 2024,Grocery Store,167.82
03 Apr 2024,04 Apr 2024,Starbucks Coffee,9.25
04 Apr 2024,05 Apr 2024,Amazon Purchase,89.99
05 Apr 2024,06 Apr 2024,Restaurant Dinner,92.45
07 Apr 2024,08 Apr 2024,Gas Station,54.67
08 Apr 2024,09 Apr 2024,Parking Fee,15.00
09 Apr 2024,10 Apr 2024,Target Purchase,145.67
10 Apr 2024,11 Apr 2024,Fast Food,18.34
11 Apr 2024,12 Apr 2024,Cell Phone Bill,89.99
12 Apr 2024,13 Apr 2024,Book Store,28.99
14 Apr 2024,15 Apr 2024,Grocery Store,178.90
15 Apr 2024,16 Apr 2024,Electronics,429.99
16 Apr 2024,17 Apr 2024,Restaurant Dinner,82.34
18 Apr 2024,19 Apr 2024,Uber Ride,34.56
19 Apr 2024,20 Apr 2024,Hardware Store,89.99
20 Apr 2024,21 Apr 2024,Clothing Store,112.34
22 Apr 2024,23 Apr 2024,Hotel Stay,289.99
23 Apr 2024,24 Apr 2024,Gas Station,58.90
24 Apr 2024,25 Apr 2024,Pharmacy,33.45
