Date,Date Processed,Description,Amount
28 Oct 2024,28 Oct 2024,MEMBERSHIP FEE INSTALLMENT,12.99
28 Oct 2024,28 Oct 2024,RAIN OR SHINE HOMEMADE  Vancouver,4.62
27 Oct 2024,28 Oct 2024,AMZN MKTP CA*HO3C80WI3  WWW.AMAZON.CA,33.59
27 Oct 2024,28 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,60.17
26 Oct 2024,27 Oct 2024,EVO CAR SHARE           BURNABY,16.77
26 Oct 2024,28 Oct 2024,PIZZA PIZZA #566 VANCOU VANCOUVER,15.08
25 Oct 2024,25 Oct 2024,APPLE.COM/BILL          TORONTO,5.59
25 Oct 2024,26 Oct 2024,BREKA BAKERY & CAFE 409 VANCOUVER,8.45
25 Oct 2024,25 Oct 2024,EVO CAR SHARE           BURNABY,5.24
25 Oct 2024,26 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,8.89
24 Oct 2024,24 Oct 2024,EVO CAR SHARE           BURNABY,84.00
24 Oct 2024,27 Oct 2024,LULULEMONCOM            877-263-9300,155.90
23 Oct 2024,23 Oct 2024,"CURSOR, AI POWERED IDE  NEW YORK",28.37
23 Oct 2024,23 Oct 2024,EVO CAR SHARE           BURNABY,5.24
23 Oct 2024,24 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,23.94
22 Oct 2024,23 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
21 Oct 2024,22 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
21 Oct 2024,21 Oct 2024,EVO CAR SHARE           BURNABY,15.12
20 Oct 2024,22 Oct 2024,=RAMENDANBOKERRISDALE 0 VANCOUVER,35.87
20 Oct 2024,21 Oct 2024,DOORDASHNOFRILLS        DOWNTOWN TORONT,3.72
20 Oct 2024,21 Oct 2024,DOORDASHNOFRILLS        DOWNTOWN TORONT,87.96
20 Oct 2024,20 Oct 2024,EVO CAR SHARE           BURNABY,7.99
20 Oct 2024,20 Oct 2024,EVO CAR SHARE           BURNABY,10.73
20 Oct 2024,21 Oct 2024,MCDONALD'S #40180  Q04  VANCOUVER,12.76
20 Oct 2024,22 Oct 2024,SAFEWAY #4908 VANCOUVER VANCOUVER,11.05
19 Oct 2024,19 Oct 2024,EVO CAR SHARE           BURNABY,15.12
19 Oct 2024,19 Oct 2024,PAYMENT RECEIVED - THANK YOU,-2712.41
19 Oct 2024,20 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,21.34
19 Oct 2024,20 Oct 2024,WWW.DOORDA* DOORDASHKI  VANCOUVER,71.18
18 Oct 2024,18 Oct 2024,EVO CAR SHARE           BURNABY,12.92
18 Oct 2024,19 Oct 2024,WHOLE FOODS MARKET      VANCOUVER,49.59
18 Oct 2024,19 Oct 2024,WINNERSHOMESENSE 402    VANCOUVER,92.35
17 Oct 2024,17 Oct 2024,LS THE ONLY VINTAGE     NEW WESTMINSTER,117.60
